Month,Year,Division,Kinder.c,Elem.c,JHS.c,SHS.c,Kinder.h,Elem.h,JHS.h,SHS.h,Region
18-Jul,2022,Sagay City,0,1,0,9,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,San Carlos City,0,1,0,13,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Silay City,0,0,1,8,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Kabankalan City,0,3,2,15,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Passi City,0,2,1,12,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Escalante City,0,0,1,9,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,Victorias City,0,0,0,0,0,0,0,0,REGION VI - WESTERN VISAYAS
18-Jul,2022,REGION VII - CENTRAL VISAYAS,NA,NA,NA,NA,NA,NA,NA,NA,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Bohol,0,30,67,20,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Cebu,0,17,37,273,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Cebu City,0,4,8,56,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Dumaguete City,0,0,3,16,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Lapu-Lapu City,0,0,4,25,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Mandaue City,0,0,12,18,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Negros Oriental,0,5,4,66,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Siquijor,0,1,1,14,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Toledo City,0,2,1,30,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Bayawan City,0,1,1,9,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Danao City,0,1,4,6,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Tagbilaran City,0,0,0,15,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Talisay City,0,4,2,25,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Tanjay City,0,1,3,1,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Bais City,0,1,4,7,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Guihulngan City,0,0,1,6,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Carcar City,0,1,2,30,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,Bogo City,0,3,2,10,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,"City of Naga, Cebu",0,1,3,28,0,0,0,0,REGION VII - CENTRAL VISAYAS
18-Jul,2022,REGION VIII - EASTERN VISAYAS,NA,NA,NA,NA,NA,NA,NA,NA,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Biliran,0,0,0,13,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Leyte,0,7,12,97,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Southern Leyte,0,1,0,46,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Eastern Samar,0,4,1,51,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Northern Samar,0,35,0,85,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Samar (Western Samar),0,1,1,66,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Calbayog City,0,0,2,24,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Ormoc City,0,2,4,8,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Tacloban City,0,1,2,11,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Maasin City,0,2,0,4,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Catbalogan City,0,1,0,10,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Borongan City,0,2,1,35,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,Baybay City,0,1,0,11,0,0,0,0,REGION VIII - EASTERN VISAYAS
18-Jul,2022,DEPED REGION IX - ZAMBOANGA PENINSULA,NA,NA,NA,NA,NA,NA,NA,NA,DEPED REGION IX - ZAMBOANGA PENINSULA
18-Jul,2022,Zamboanga del Norte,0,5,5,100,0,4,0,0,DEPED REGION IX - ZAMBOANGA PENINSULA
18-Jul,2022,Zamboanga del Sur,0,12,11,32,0,0,0,0,DEPED REGION IX - ZAMBOANGA PENINSULA
18-Jul,2022,Zamboanga Sibugay,0,6,0,95,0,0,0,0,DEPED REGION IX - ZAMBOANGA PENINSULA
18-Jul,2022,Dapitan City,0,2,1,8,0,0,0,0,DEPED REGION IX - ZAMBOANGA PENINSULA
18-Jul,2022,Dipolog City,0,2,0,37,0,0,0,0,DEPED REGION IX - ZAMBOANGA PENINSULA
18-Jul,2022,Isabela City,0,0,1,19,0,0,0,0,DEPED REGION IX - ZAMBOANGA PENINSULA
18-Jul,2022,Pagadian City,0,7,10,1,0,0,0,0,DEPED REGION IX - ZAMBOANGA PENINSULA
18-Jul,2022,Zamboanga City,0,3,2,150,0,0,0,0,DEPED REGION IX - ZAMBOANGA PENINSULA
18-Jul,2022,REGION X - NORTHERN MINDANAO,NA,NA,NA,NA,NA,NA,NA,NA,REGION X - NORTHERN MINDANAO
18-Jul,2022,Bukidnon,0,11,18,86,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Camiguin,0,2,1,8,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Lanao del Norte,0,9,5,71,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Misamis Occidental,0,2,1,7,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Misamis Oriental,0,2,4,107,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Cagayan de Oro City,0,10,16,18,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Gingoog City,0,1,2,44,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Iligan City,0,2,10,15,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Ozamis City,0,3,7,25,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Oroquieta City,0,1,4,3,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Tangub City,0,1,1,17,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Valencia City,0,4,3,6,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,Malaybalay City,0,5,7,16,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,El Salvador,0,0,1,6,0,0,0,0,REGION X - NORTHERN MINDANAO
18-Jul,2022,REGION XI - DAVAO REGION,NA,NA,NA,NA,NA,NA,NA,NA,REGION XI - DAVAO REGION
18-Jul,2022,Davao De Oro,0,2,4,95,0,0,0,0,REGION XI - DAVAO REGION
18-Jul,2022,Davao del Norte,0,2,0,85,0,0,0,0,REGION XI - DAVAO REGION
18-Jul,2022,Davao del Sur,0,2,4,40,0,0,0,0,REGION XI - DAVAO REGION
18-Jul,2022,Davao Oriental,0,0,6,41,0,0,0,0,REGION XI - DAVAO REGION
